first_name,last_name,wiki_url
Nellie,Ross,https://en.wikipedia.org/wiki/Nellie_Tayloe_Ross
Miriam,Ferguson,https://en.wikipedia.org/wiki/Miriam_A._Ferguson
Lurleen,Wallace,https://en.wikipedia.org/wiki/Lurleen_Wallace
Ella,Grasso,https://en.wikipedia.org/wiki/Ella_T._Grasso
Dixy,Ray,https://en.wikipedia.org/wiki/Dixy_Lee_Ray
Vesta,Roy,https://en.wikipedia.org/wiki/Vesta_M._Roy
Martha,Collins,https://en.wikipedia.org/wiki/Martha_Layne_Collins
Madeleine,Kunin,https://en.wikipedia.org/wiki/Madeleine_M._Kunin
Kay,Orr,https://en.wikipedia.org/wiki/Kay_A._Orr
Rose,Mofford,https://en.wikipedia.org/wiki/Rose_Mofford
Joan,Finney,https://en.wikipedia.org/wiki/Joan_Finney
Ann,Richards,https://en.wikipedia.org/wiki/Ann_Richards
Barbara,Roberts,https://en.wikipedia.org/wiki/Barbara_Roberts
Christine,Whitman,https://en.wikipedia.org/wiki/Christine_Todd_Whitman
Jane,Hull,https://en.wikipedia.org/wiki/Jane_Dee_Hull
Jeanne,Shaheen,https://en.wikipedia.org/wiki/Jeanne_Shaheen
Nancy,Hollister,https://en.wikipedia.org/wiki/Nancy_P._Hollister
Jane,Swift,https://en.wikipedia.org/wiki/Jane_M._Swift
Judy,Martz,https://en.wikipedia.org/wiki/Judy_Martz
Ruth,Minner,https://en.wikipedia.org/wiki/Ruth_Ann_Minner
Linda,Lingle,https://en.wikipedia.org/wiki/Linda_Lingle
Olene,Walker,https://en.wikipedia.org/wiki/Olene_S._Walker
Jennifer,Granholm,https://en.wikipedia.org/wiki/Jennifer_M._Granholm
Janet,Napolitano,https://en.wikipedia.org/wiki/Janet_Napolitano
Kathleen,Sebelius,https://en.wikipedia.org/wiki/Kathleen_Sebelius
Kathleen,Blanco,https://en.wikipedia.org/wiki/Kathleen_Blanco
M.,Rell,https://en.wikipedia.org/wiki/M._Jodi_Rell
Christine,Gregoire,https://en.wikipedia.org/wiki/Christine_Gregoire
Sarah,Palin,https://en.wikipedia.org/wiki/Sarah_Palin
Beverly,Perdue,https://en.wikipedia.org/wiki/Beverly_Perdue
Jan,Brewer,https://en.wikipedia.org/wiki/Jan_Brewer
Susana,Martinez,https://en.wikipedia.org/wiki/Susana_Martinez
Mary,Fallin,https://en.wikipedia.org/wiki/Mary_Fallin
Nikki,Haley,https://en.wikipedia.org/wiki/Nikki_Haley
Maggie,Hassan,https://en.wikipedia.org/wiki/Maggie_Hassan
